,分词结果,label,act_label,预测结果,人工分类
1060,催收 同一个 村子 某某某 提供 村支书 电话 岂有此理 逾期 两年 提额 估计 受 株连九族,20,5,还款,催收
1061,交表二卡 不批 还查 征信 拉 信报 审批 查完 信报 符合 发卡 标准 吃定 年费,10,10,市场活动,市场活动
1062,卡 提额 措施 卡 . 年 月 在手 年 提额 万 提到 . 万 动静 持有 金卡 金卡 大哥 点 提额,22,22,额度调整,额度调整
1063,人生 首卡 . . 一点 消息 业务员 办理 中是 拒,8,8,好享贷,好享贷
1064,有没有 倍 积份 条件 有没有 倍 积份 条件,10,10,市场活动,市场活动
1065,查看 京东 物流 不快 收到 货,20,20,还款,还款
1066,娇娇 一年 曲线 一年 提 临时 两次 提固 曲线,10,10,市场活动,市场活动
1067,人品分 同题 人品分 搜索 搜索 不到,0,10,APP,市场活动
1068,记得 去年 六月份 白麒麟 洪水 赶上 末班车 半年 期间 卡 下不来 特 问问 上车 朋友 成功 姿势,20,20,还款,还款
1069,打电话 新卡 凤凰 金  两个 月 刷 万把块 打电话 说 分 月 长期 稳定  半天 神烦 说 滚 挂 套现 不用 理,8,8,好享贷,好享贷
1070,菜 卡 开通 自动 销户 前 两个 月 帮 媳妇  额度 打算 开通 有没有 影响 开通 销户 解答,21,21,销卡、销户,销卡、销户
1071,周 排名  刷卡 . 能选 云台 如题 周 排名  刷卡 . 能选 云台 求 刷 周 万多 排名 选奖 页面,16,12,积分,支付
1072,拒  推 如题,20,20,还款,还款
1073,账单 日 消费 算入 本期 账单 账单 日 消费 算入 本期 账单,19,19,账单,账单
1074,问 京东 白条 金卡 额度 两张 卡 额度 共享 两万 用光 京东 白条 金卡 共享 这张 京东 白条 金卡 额度 明白 有没有 用过 告诉 感谢,22,22,额度调整,额度调整
1075,有办 沃尔玛 卡 业务员 如题,16,16,积分,积分
1076,优逸白 邀请 如题 算是 邀请 通过率,10,10,市场活动,市场活动
1077,高手 预测 第四轮 能刷 云台 如题 万分 感谢 周刷  排名,16,16,积分,积分
1078,封卡 银监 分 恢复  期,20,20,还款,还款
1079,沃尔玛 超市 撸 沃尔玛 卡 本市 一家 超市 关门 姿势 撸 沃尔玛 卡,16,16,积分,积分
1080,卡是 年 换卡 记得 第一张 卡是 年 毕业 办 年 换卡 前 几年 换 今早 绑定 云闪付 眼 有效期 过期 年换 卡 估计 年 额度  绝望,22,1,额度调整,个人信息
1081,逾期 天 电话 同事 填 资料 留 同事 电话 网贷 催收 客服 问 想 说 上班 影响 说 上报 领导 明天 情况,20,20,还款,还款
1082,注销 申请 上次 提到  注销 再要 提额,0,21,APP,销卡、销户
1083,征信 花 逾期 申请 垃圾 秒 拒 够 垃圾 卡,4,4,信用记录,信用记录
1084,太 恶心 最低 还款 恐怖 利息 额度 万 上个月 账单 万 还款 日 当天 最低 款 剩 万 新 账单 发现 利息 高达  怎么回事,19,20,账单,还款
1085,几天 女儿 天才 手表 收到 上海 来电 昨天 骚扰 在家 我家 人接 说 找 中午 吃饭 话务员 打电话 一波 骚扰 正好 在家 开 骂 骂 这货 原因 电话 中 自称 上海 说 找 这货 骗子 本次 通话 中 五次 告诉 那货 问 那人会 留 电话 火起 留 电话 控制不了 问 名字 暴粗 叼 反问 信息 那货 说 信息 个人隐私 告诉 好气 好笑 信息 个人隐私 怀疑 诈骗 电话 告诉 有种 起诉 问这问那 说 告诉 就行了 这货 智商 低 进 告诉 发 贴 想 问 这货 工作人员 工作人员 智商 程度 这货 骗子 骗子 利用 工具 拔 电话,1,9,个人信息,客服热线
1086,储蓄卡 有个 咨询 没临额 很久没 临额,20,20,还款,还款
1087,期 账单 提 固定 % 如题 月 提 固定 提完 固定 % 临时 短信通 知 几次 提临额 临额 有效期 两个 月 临时 影响 提 固定 时间 月 提 固定 提 固定 月份 临时 下次 时间 算 临额 有效期 两个 月,22,22,额度调整,额度调整
1088,白麒麟 首年 刷 笔  免年费 首年 刷 笔  免年费,10,10,市场活动,市场活动
1089,打电话 询问 用卡 情况 怎么回事 电话 说 优质 电话 回访 咨询 用卡 有没有 不便 挂 推销 业务 电话 怎么回事 求问,9,9,客服热线,客服热线
1090,咸鱼翻身 逾期 来电 催收 告诉 咸鱼 挂 卖 笔记本电脑 卖出去,20,20,还款,还款
1091,改 资料 改 工作 信息 换 办 卡 填 公司 想 统一 征信 改 资料 改  改不了 网上银行 找 不到 入口 人工 说 只能 网点 改 太 麻烦 方式,0,1,APP,个人信息
1092,年底 业绩 去年 月 网申  期 账单 期间 电话 提额 拒 曲线 下普卡 额度 共享 期 账单 销卡 标普 神鹿 后申 支付 下卡 期 账单 首提 期 账单 未二提 前 几天  打电话 说 去年 额度 低 销卡 推荐 办 铁路 卡 额度 高 说 额度 低 不用 下卡 标金 下午 收到 短 信 额度  昨天 收到 卡 真实 消费 额度 够用 说 小娇风 控严 主刷 建行 三级 发 图,19,22,账单,额度调整
1093,套路 出牌  跑 深圳 北刷 光头 强 吃 真公 美滋滋 涨  大洋 调额 醉 光头 强 福利,10,10,市场活动,市场活动
1094,金卡 额度  水平 年,22,22,额度调整,额度调整
1095,娇娇 偷偷 扣 年费 不让 兑 如图 偷渡 不让 积分兑换 年费,16,16,积分,积分
1096,周周刷 统计 中 估计 凉 每轮 消息 统计 中 没中 周周刷 凉,10,10,市场活动,市场活动
1097,千万别 大额 真 没见 贱  卡 刷 . 费率 机子 月 月 空卡 负债率 高 不良 记录 寻思 小心 点 三四个 月 一点 事 账单 日到 三五千 完 刷 完 刷 放松 警惕 账单 手里 有钱  收到 短 信 交易 风险 封卡 提供 发票 从没 见过 贱 大额 封卡,19,19,账单,账单
1098,终于 交 行销 不舍 周周刷 活动 终于 下定决心 销了 滚,10,10,市场活动,市场活动
1099,逾期 天 临时 额度 没钱 发现 月 账单 最低 万多 封卡 先 逾期 先 补上,20,20,还款,还款
1100,沃尔玛 进 一年 前 办个 卡 内会 懂 不刷 消 玩卡 说好 申 发现 没毛 撸 想 申 沃尔玛 网申 说 重复 卡 消 一年 破,16,16,积分,积分
1101,娇小 羊毛 阿娇 羊毛 真不错,20,20,还款,还款
1102,老铁们 请 指教 用卡 老铁们 请 指教 用卡,20,20,还款,还款
1103,周周刷 分析 第三轮 第四轮 选奖 预估 周周刷 金额 .  月 号 排名  多名 停刷 排名  名 第三轮 耳机 冲着 耳机 卡 额度 .  前 两个 帐单 沃尔马 卡刷 . 比较慢 第二轮 选奖 第三轮 动用 白麒麟 并加  多存 刷 确保 耳机 必拿 一周 排名 数字 月 号 停刷 估计   之间 第三轮  刷  而会 第三轮 选奖 耳机 停刷 第三轮 走掉 志在 必夺 二等奖 第四轮  耳机 数量 极有 第四轮 二等奖 入围 金额 非常低 估计 第四轮 一等奖  之间 二等奖 拿到,10,8,市场活动,好享贷
1104,菜卡 销卡 重申 苏宁 莲花 卡 ......_ 年  菜卡 销卡 剩余 积分换 刷卡金 打电话 抵扣 重申 苏宁 苏宁 金好 苏宁 不好 苏宁 金 申请 莲花 卡 貌似 慢慢 不让 电话 抵扣 .........,21,21,销卡、销户,销卡、销户
1105,阿娇 拉 壮丁  好久没 收到 阿娇 短信,20,10,还款,市场活动
1106,一卡 . 普卡 卡 沃尔玛 秒 一卡 . 普卡 卡秒,16,16,积分,积分
1107,情况 不让 参团  成熟 皮 办张 金 浪 点 参团 一堆 文字 怎么回事 卡 封,20,0,还款,APP
1108,白麒麟 邀请 放水 新 高端 卡 让位 九月 一号 发 公告 发布 新 高端 卡  年费 隔壁 茶馆 爆料 对标 银联 钻石 卡 十二月 发布 邀请 挺 白麒麟 权益 下放 一部分  未来 高端 卡 发布 白麒麟 承上启下 中端 白金卡 境外 最红 砍 附属卡 砍 贵宾室 砍 值得 持有,10,10,市场活动,市场活动
1109,团 第三轮 提前 预约 站队 西屋 颈椎 按摩 仪 华为 便捷 式打印机 你会选,20,8,还款,好享贷
1110,账单 不出 号 账单 日 号 猫腻,19,19,账单,账单
1111,真 羊毛 羊毛,20,20,还款,还款
1112,办理 白金卡 填 年薪 填 办理 门槛 之上 某行 某白要 年薪 万 办理 白金卡 填 年薪 填 办理 门槛 之上 年薪 万,8,8,好享贷,好享贷
1113,优酷 卡 挺 好看 表面 平滑 条纹,20,20,还款,还款
1114,首提 成功 金卡提 白麒麟 调平 金卡 . 万  年 . 激活  自动 调  发现 邀请 . 万 调平 怎么回事 白麒麟 已出 三期 账单,19,19,账单,账单
1115,买单 力上 月 看着 一万多 更新 有没有 买单 力是,10,10,市场活动,市场活动
1116,沃尔玛 金卡 .  .  终于 破  早上 无聊 点开 提到 .  试了试 笑 死 一年 中 周周刷 时间 冷冻,10,10,市场活动,市场活动
1117,用拉 卡拉 小手 刷 机器,20,20,还款,还款
1118,老妈 白麒麟 申请 附属卡 审核 打电话 申二卡 无证 信,13,13,申请,申请
1119,特别 帅丝 白金卡 四个 已知 经典,10,10,市场活动,市场活动
1120,月 买单 力 福利 空空,10,10,市场活动,市场活动
1121,升级 白金卡 诚邀 升级 我行 白金卡 申办 白金卡 核卡  天内 刷 笔  元 享免 首年 年费 尊享 机场 贵宾厅 酒后代驾 礼遇 点击     当月 我行 审批 为准,16,16,积分,积分
1122,野鸡 骄 我来 沉鸡 好多天 锁事 搞 贱 跑 骄 网申 不行 近几日 跑 唯一 分 行进 件 昨天 收到 订单  单位 年前 先 搞 点 年货 年费 刷免 先 好累 工 中农 交 四卡 够 消费 刷免 年费 真 纠结 卡  年 先 走,19,19,账单,账单
1123,逾期 不到 一个月 电话 关机 不到 一个月 朋友 电话 爆 通讯录,10,20,市场活动,还款
1124,提额 秋后算账 早上 点 提额 查 征信 一会儿  提到  本月 参加  团 刷 刷 搞  每笔   反 薅 想着 提了 秋后算账 意外 提额,22,22,额度调整,额度调整
1125,刷  机 问 商户 储蓄卡 手续 商户 千分,10,10,市场活动,市场活动
1126,昨天 事情 后续 早上 电话 说 有空 办理 秒 批 秒 想 我过 尴尬,8,8,好享贷,好享贷
1127,违约金 利息 算 违约金 月 算 利息 帮忙 说,19,19,账单,账单
1128,不让 回事 用卡 不到 额度 百分  每笔 一千 小额 刷 情况,22,22,额度调整,额度调整
1129,找 业务员 不行 距离 上次 月 找 业务员 拒绝 破 非要 月,20,20,还款,还款
1130,二卡 不查 征信 我菜 卡普卡 忍不住  二卡 不查 征信 试验 我菜 卡普卡  忍不住 卡 销了 查 征信 想 碰瓷 办 莲花 卡 好像 撸 点 卡 莲花 卡 沃尔玛 卡怕 撸 狠 大黑 屋 菜卡刷 累 去年 月 波水 没敢 从那以后 进 爱卡,4,4,信用记录,信用记录
1131,买单吧 现金分期 选项 买单吧 现金分期 选项 现金 转账 账单,8,8,好享贷,好享贷
1132,求个 大佬 帮忙 分析 手里 菜 卡 额度  换卡 额度 提升 网贷 贷用 关系 债务 请  卡 几个 月 打电话 提额 说 销卡 半年,22,22,额度调整,额度调整
1133,十天 未 入账 账单 日   号 进 买单吧 发现 待出 账单 里 一笔 . 号 交易 未 入账 机器 代理 截图 说 交易失败 客服 说 交易 成功 这笔 钱 飞,19,19,账单,账单
1134,惠民 贷 拒 太黑 小贷 太多 申请 拒 今早 收到 短 信 稳 拒绝 小贷 太多 征信 查询 原因 小贷 强制 原因 办法,10,13,市场活动,申请
1135,不敢相信 眼睛 主动 提 额度 ! ! ! 年 月 下卡  地点 杭州 年 月 日小娇 首提  额度 来到 .  期间 来过 几次 好享贷 用过 推销员 太给力 故事 结局 然鹅 没错 主动 提额 月 行给 提 额度 民生 广州,22,22,额度调整,额度调整
1136,持卡人 认证 失败 刷 笔 第三笔 持卡人 认证 失败 怎么回事  宝 机器,20,0,还款,APP
1137,新办 卡 额度 老卡高 青年 卡 磁条卡 额度  早 想 换 芯片 卡 前 几天 买单吧 金 额度 共享 旧卡 旧卡 注销 掉 收到 短 信 额度  无语 求 指点 旧卡 注销 旧卡 先 放着不管 用新卡 额度 上涨,22,22,额度调整,额度调整
1138,申请 白麒麟 双币 卡 未知 金卡 固额  没收 邀请 码 办理 下个月 出国 双币 隔壁 行 手动 买单吧 双币 白麒麟 下卡 额度,13,13,申请,申请
1139,提额查 征信 进  提额 点击 提示 要查 征信 要查 一说 确实 查 贷后 管理 审批,20,0,还款,APP
1140,超级 最红星期五 超级 最红星期五,10,10,市场活动,市场活动
1141,积 分 双 倍 说,20,20,还款,还款
1142,积分兑换 页面 找 积分兑换 网上 兑换 找 不到 页面,16,16,积分,积分
1143,一月 下卡 没首 提 第二次 临时 额度 时间 太长 九月 十二月 提前 取消 提固 第一次 临时  提前 取消 第二次,8,8,好享贷,好享贷
1144,卡 好下 分享,10,10,市场活动,市场活动
1145,临时  去年 月 下卡 资格,20,20,还款,还款
1146,停卡 超额 停卡,20,0,还款,APP
1147,新 中付 机子 刷 笔 笔 建材 卡 最红星期五 万积分 元 刷卡金 早就 还清 销掉 白麒麟 刷卡 情况 笔有 笔 建材 机子 笔 每笔 间隔 小时 餐饮 时段 建材  积分 建材 敏感 还好 每次 刷 额度 不算 笔 一共  长久之计 下决心 月份 环境 只能 还清 销掉 白麒麟 还省 时 省心,10,10,市场活动,市场活动
1148,周周刷 收到 短 信 万 第二轮 拿到 耳机 感谢 参与 周周刷 活动  耳机 礼品 配送 账单 地址 请 点击     确认 奖品 配送 信息 如需 变更 请于 月  日前 买单吧  获奖 页面 点击 更改 地址 修改 退订 回复,10,10,市场活动,市场活动
1149,积 分 全 积分换 东西 积分 全 积分兑换 出路 貌似 百分  兑换 东西 不太 划算,16,16,积分,积分
1150,好享贷 求助 万块 钱 风控,8,8,好享贷,好享贷
1151,周周刷 当天 同一个 商户 刷 笔 金额 算 累计 刷 笔 同一个 商户 金额 算 累计 只算 一笔 金额 次数 够 无妨 担心 金额 累加 亏了,0,10,APP,市场活动
1152,打电话 提示 销卡 打电话 提示 销卡 很无语  额度 一笔 小额 提示 说 风险 交易 暂停 透支 功能 销卡 真无语,21,21,销卡、销户,销卡、销户
1153,湖北 周日 福利 错过 看图 说话 周末  名额,10,10,市场活动,市场活动
1154,买单 力 做 买单 力 消费 一分 买单 力 做 买单 力 消费 一分 月租 消费 月底 消费 一点 买单 力 上个月 扣 买单 力 情况,10,10,市场活动,市场活动
1155,第一次 薅 羊毛 中奖 刷 周  有人 收 这货 值 钱,0,0,APP,APP
1156,小额 多笔 好处 如题 精养 月 额度   积分 兑 刷卡金 满意 主养 毕业,16,16,积分,积分
1157,投诉 电话 事情 累计 消费 有个 好几千 好多天 干净 还略 溢 缴款 今天上午  打电话 无头 苍蝇 接通 喊 累计 消费 好几千 话术 告诉 欠钱 可用 额度 固定 额度 高 分 几个 月 慢慢 听 一个劲 说 想 糊弄 新人 懂 说 事情 说 投诉 一个劲 说 挂 电话 服务 监督 电话   接电话 想 袒护 主动 问 工号 主动 问 几点 几分 说 登记 电话号码 做个 屏蔽 营销 电话 说 投诉 工作人员 投诉 电话 问 有个 反馈 进度 说 想要 指 语气 很强 事情 告诉 肯定 疑问 说 投诉 调查 总要 说法 无理取闹 工作人员 违反 规则 恶意 诱导 总要 有个 说法 内部 处罚 内部 事情 只好 说 登记 最快 工作日 回 电话 去年 类似 接电话 投诉 客气 至少 态度 听 当回 事情 后续 打电话 说 扣 效绩 奖金   接电话 想 糊弄 蛇鼠 一窝 有个 经验 字头 电话 接通 电话 接通 几秒 接通 多半 理 正规 权限 工作人员,3,3,保险,保险
1158,人品分 暴涨,20,20,还款,还款
1159,刷卡金 昨天 刷  扣除 刷卡金 请 指点,10,10,市场活动,市场活动
1160,额度 刷 爆 利于 提额 月 拿到 卡  实在 太 少 刷 爆 一条 短 信 内容 超用 额度 会收 额外 利息 原本 想着 刷 爆 额度 扣 费 月 操作 有助于 第一次 提额 尾号  日  时  分 成功 消费 人民币 . 元 可用 额度 已用 完 本笔 交易 免费 享受 超 授信额度 用卡 服务 账单 周期 享受 请 还款 恢复 额度 祝您 用卡 愉快,22,22,额度调整,额度调整
1161,里 销户 办 卡用 年 额度 半分 提过 黑 卡片 归属 城市 里 销户 六个月 办 销户 想换个 归属 黑屋 持卡 情况 签名,21,21,销卡、销户,销卡、销户
1162,华润 万家 卡 请进 换成 华润 积 分 划算 华润 积 分 用途,20,20,还款,还款
1163,收到 短 信 网点 纸质 版 回复,20,20,还款,还款
1164,风控 电话 早就 拉 黑  接,20,20,还款,还款
1165,临时 到期 固定 临时 到期 点击 固定 额度 提,22,22,额度调整,额度调整
1166,沃尔玛 卡 返现 周日 消费  .% 返现 回来 周五 立减,10,10,市场活动,市场活动
1167,吐槽 自动 款,20,20,还款,还款
1168,新出 蜜卡 三倍 积分 咋整 新出 蜜卡 倍 积分 整得,16,16,积分,积分
1169,最红星期五 活动 疑问 周五  减少 % 合作 门店 减少 充值 购物 卡算 满减,10,10,市场活动,市场活动
1170,封卡 节奏 销卡,21,21,销卡、销户,销卡、销户
1171,人品分 本来 低 玩 套路 提额 人品分 一开 卡  多分 一个月 分蹭 一年 百多 款 降分 查 上个月 十来分 还款 降回去  客气 狠狠 撸 封卡算 鸟,20,20,还款,还款
1172,买单吧 修改 账单 日 改 买单吧 修改 账单 日 改 记得 好几年 前 客服 改过 买单吧 选 在线客服 输入 修改 账单 日 提示 记录 次日 凌晨 汇 修改 改 成功,19,19,账单,账单
1173,仆街 救 行且 珍惜,20,20,还款,还款
1174,第一次 提额 幅度 低   还查 征信,0,0,APP,APP
1175,申请 几天,13,13,申请,申请
1176,标准 白金 秒 批 万 业务员 上门 填 完 信息 三张 卡 额度 低 万 网申 好多 征信 花 懵 逼,22,22,额度调整,额度调整
1177,几个 月 前 秒 拒 申请 秒 几个 月 前 秒 拒 秒 看下,10,10,市场活动,市场活动
1178,优逸套 卡能 单独 销 万事达卡 优逸卡 万事达卡 没用 行 境外 卡 权益 好多 销掉 万事达 保留 银联卡 影响 提额,10,10,市场活动,市场活动
1179,优逸白 申请 附属卡 附属卡,13,13,申请,申请
1180,金卡 白金卡 共享 额度 上个月 世界杯 金卡 申请 优异 白金 额度 一万 共享 额度 告知 !,22,22,额度调整,额度调整
1181,人品分 算 低 人品分 提额 无望 逾期,20,20,还款,还款
1182,用卡 买 辆 电动车 云闪付 里 分类 金融保险 房产 汽车 凉 买单吧 机车行 消费,0,0,APP,APP
1183,电话 申请 白金卡 中午 正 睡觉 电话 吵醒 客服  来电 邀请 万事达 白金 双币 卡 权益 勉强 糊口 普通人 好像 没什么 鸟用 大佬 值得 申请 申请 额度 提升 万积分 好不好 搞  日 早上 短信 审核,13,13,申请,申请
1184,周周刷 三轮 选奖 耳机 收到 真香 京东 发货 物流 过程 买单吧  查不到 关注 京东 微信 公号,10,10,市场活动,市场活动
1185,新出 燃卡 免年费 刚性  情况 懵,10,10,市场活动,市场活动
1186,白麒麟 代驾 转卖 白金 次 酒后代驾 转给 叫代驾 时 手机号码 更改 只能,10,10,市场活动,市场活动
1187,再见 小交 我养 不肥 销卡 首 提后 月 提 额度 少 不养,21,21,销卡、销户,销卡、销户
1188,买单 力 感谢 斑竹 精品 帖子 固额 低于  无损 免年费 方法  .      刷卡   买单 力 封顶 还款  外卖  优惠券 买 完 不用 自动 过期 退款  缴费 家 电费 元  互动 分享  登录   消费  买单 宝 买 一点点 微 信号  微信 消费 支付宝 消费 信用保障 用卡无忧      剩云 闪付  自助 款 还款  买单 力 重复  积分兑换  消费 支付 抵扣 算   合计   买单 力 挺 弄 听 网友 说  买单 力才 再加 电影 商城 消费 请 括号 里 标记 有没有,10,10,市场活动,市场活动
1189,地区 沃德 达标 纸质 进件 沃德 月 达标 理财 经理 说 江苏 取消 纸质 进件 这么回事,13,13,申请,申请
1190,消了 再见 销卡 姿势 黑屋 提 停留  风控严 行 一律 不用 精减 行 年纪 一大 越来越 喜欢 踏实 东西,21,21,销卡、销户,销卡、销户
1191,日 拼命 月 账单 进 黑屋 临时 这期 拼 小额 多笔  额度 刷成,19,19,账单,账单
1192,发 邀请 短 信 申请 白麒麟 白麒麟 办 万 金卡 发 邀请 短 信 白麒麟 办 毛 加油 超市 指定 生日 月 刷 万积分 封,10,10,市场活动,市场活动
1193,封卡 最低 开,20,20,还款,还款
1194,现有 京东 小白卡  走 白条 想 这张 卡要 留下来 推荐 申请 卡 不用 鸡子 消费,13,13,申请,申请
1195,金凤卡 挂失 办 白麒麟 优逸白 金凤卡 弄掉 挂失 不想 补办 收到 邀请 短 信 纠结,10,7,市场活动,卡片维护
1196,数字 耳机 稳不稳,20,20,还款,还款
1197,邮寄 几天  号 批 物流 号 几天 邮寄,20,6,还款,卡寄送
1198,提交 工作 信息 失败  校园 版 毕业 工作 提交 工作 信息 提额 样子 破,1,1,个人信息,个人信息
1199,微信 余额 变动 提醒 微信 买单吧 提醒,20,20,还款,还款
1200,申请 沃尔玛 征信 买单吧 查看 拒 申请 信息 提交 审核 无需 重复 提交,13,16,申请,积分
1201,外币 卡 支持 国外 绑定   绑定  万事达 软件 网站 已知 标准 金卡 双币 卡 不行 单标 万事达 神鹿 卡 不行 已知 全币 卡 境外 卡 有用 成功 绑定,12,12,支付,支付
1202,白麒麟 苏宁 好用  年费 选呀 苏宁  年费 选呀,19,19,账单,账单
1203,记录 提额  月 提到  行中 最低 额度,22,22,额度调整,额度调整
1204,白麒麟 提额 力 提了 次 追上 青年 卡 时 共享 额度 青年 卡  奇葩,22,22,额度调整,额度调整
1205,打印机 礼品 看着 感谢 好多年 中 过奖,10,10,市场活动,市场活动
1206,封卡 提供 交易 凭证 破 提供 几个 月 前 交易 凭证 一部分 套 几个 月 前 早 扔 客服 电话 不通 破,8,8,好享贷,好享贷
1207,交年费 想 说 想 说 三张 卡 一分钱 年费 交,20,0,还款,APP
1208,哪位 刷卡 行不行 名下  卡 年 额度  万年 下卡  额度 用到 月 月 临时 额度 不见 提固额 月 消费  消费 支付宝 微信 支付 名下 月 月 爆卡 还款  慢慢 刷 支付宝 交易 单笔  提额 咋办 配个 鸡刷点 实体 卡,22,22,额度调整,额度调整
1209,积分兑换 里程 一年 发现 万积分 卡 出门 玩能 积分换 机票,16,16,积分,积分
1210,昨天 账单 日 钱 没到 最低 一早 八点 全款 还会 收 滞纳金 利息 之内 类 经验 每次 全款,19,19,账单,账单
1211,月 月 撸 星期五 加油 秒 减 次 封卡 提额 想 距离 提额 年,22,10,额度调整,市场活动
1212,请假 白麒麟 中信 易卡 值得 撸 请假 撸 头 易 白金 相比 撸 易卡 多倍 积 分 白麒麟 优势,10,10,市场活动,市场活动
1213,来个 有没有 业务 还款 分 还款 刷,20,20,还款,还款
1214,逾期 月 号 换  催  说 换卡 第二天 开卡 朋友 钱 天内 还给 想 问问 大佬 不靠 谱 手里 实在,20,20,还款,还款
1215,乐  卡 昨晚 审核 月份 悠然 白到 额度 .  变化 曲线 成功 代码,8,8,好享贷,好享贷
1216,昨天 申请 早上 短信通  菜卡 说 收到 卡片  激活 不用 面签,13,13,申请,申请
1217,电话 打电话 接过 第一次 没接 关系,0,0,APP,APP
1218,京东  额度  京东  额度 玩 姿势 话 说 送 期 白条 免息 券 操作,22,22,额度调整,额度调整
1219,情人节 礼物 情人节 大水 中,20,20,还款,还款
1220,提升 咔 心得 多元化 消费 离不开 卡前 月 账单 分享 最初 额度   额度 变化 多元化 消费 离不开 机子 支付宝 消费 杀 淘宝 杀 信用 咔 付款 这下 懂 手续费 手续费,8,19,好享贷,账单
1221,积分 活动 捆绑 微信 积分 活动 给立 减金 消费 金额 费用 扣除 减金,10,10,市场活动,市场活动
1222,阿交新户 羊毛 选 划算 阿交新户 羊毛 选 划算  刷卡金 联名卡 抽奖,10,10,市场活动,市场活动
1223,周周刷 竞争 太 激烈 刷 万 五千 不想 再刷 耳机 走 算了,10,10,市场活动,市场活动
1224,两年 终于 首提 两年  出过 临时 额度  一年 最低 款 小黑 屋 无限 循环 分 近几个月 全额 提前 款 终于 手动 查 征信 首 提到  行菜 卡 一万 上个月 销卡,20,20,还款,还款
1225,儿童 卡 儿童 卡,20,20,还款,还款
1226,选 积分 奖励 确 发现 奖励 月底 账 坑 慢 选 积分 奖励 确 发现 奖励 月底 账 坑 慢,16,16,积分,积分
1227,下卡 额度 共享 首卡 二个 帐单 电话 邀请 办理 没想 卡种 营销员 推荐 办 中铁 卡 昨晚 金卡 早晨 额度 共享 中铁 金卡 沃尔玛 金卡 想 消掉,13,13,申请,申请
1228,语 吞钱 习惯 账单 日前 款 月  账单 日  日 上午 支付宝 还款  买单吧 还款  下午 买单吧  账单 欠款  元 入账 慢遂 天 日 买单 查不到 两笔 款 记录 白金 客服 说 还款 记录 找 储蓄卡 客服 追回 储蓄卡 客服 说 钱 账 追回 娇客 服 客服 解决不了 转 领导 领导 说 工作日 解决,19,19,账单,账单
1229,柜台 小妹 邀请 办 卡 昨天 办 对公 业务 小妹 办 下午 太 辛苦 上次 码 办 张 填表 网申 那种 扫 码 没秒 拒 秒 批 想 额度,8,8,好享贷,好享贷
1230,申请 首卡 如题 首卡 哪种 好过 网点 申请 网申 好点 已有 老农 大妈 行 卡,13,13,申请,申请
1231,破 秒 拒 两三年 一年 次 每次 秒 拒,0,0,APP,APP
1232,阿娇大 放水 额度 翻一番 快去 调额 圆梦 金 缘故 中信 固定 二十多万 千年 不提 终于 六万 . 万 估计 撸 周周刷 月 临时 万多,22,22,额度调整,额度调整
1233,最低 五万 额度 锦江 之星卡 三万 额度 想 曲线,22,22,额度调整,额度调整
1234,撸 逾期,20,20,还款,还款
1235,羊毛 羊毛 手慢,20,20,还款,还款
1236,新户 领  元 红包 活动 更新 哪位 朋友 几点 更新 点 点,10,10,市场活动,市场活动
1237,发 尊敬 现 尾号  万事达 环球 卡 支付 美元 即可 领 美元 美国 亚马逊 网站 礼品 卡 圣诞 新年 享海 淘 超低 折扣 登陆    邀请 码 领取 邀请 码 天内 先到 先得 领完 即止 退订 回复,10,20,市场活动,还款
1238,人品分  提 临时 人品分  临时 怎么回事 前段时间 自动 提了 固定 块钱 临时 提 首卡 金凤卡 提 临时 提 固定 去年 年底 消 优逸白 提 临时 有没有 事,22,22,额度调整,额度调整
1239,标准 双币 金卡 卜 蜂 莲花 金卡销 哪张 指点 如题 简单 说 说 理由,0,16,APP,积分
1240,进 小黑 屋 好几个 月 临时 猜 黑 每日 签到 积分 可不是 中 红包 . 那种 签到 点 样子 如图 办理 救,16,16,积分,积分
1241,降级 秒 批 鬼 秒 降金卡  公积金 卡 封顶 代发 工资 挽救 玩意儿,20,20,还款,还款
1242,放水 假 我爱卡 五千 共享 菜卡,20,20,还款,还款
1243,记仇 推不倒 求 姿势,20,20,还款,还款
1244,小白卡 好不好 批 脸 黑 上海 民生 小白 拒 征信 很花 求 指点 一二 手持 两张,20,20,还款,还款
1245,违规 短信 骗子 假 额 题 骗子 假,20,20,还款,还款
1246,好享贷 完国 会涨 固额 年 月 日 发放 贷记卡 人民币 账户 年 月 信用 额度   额度   去年 月 征信 卡 固额  一年 提额 临额 好享贷 我用,8,8,好享贷,好享贷
1247,激活 注销 新 申请 去年 张 万 网点 激活 注销 新,11,11,开卡,开卡
1248,搞 哪门子 张卡 张 . 张金卡 . 白麒麟 永远 提 金卡 自动 . . . 道理,20,20,还款,还款
1249,预测 周周刷 前 几轮 估计 本轮 被子 云台 起点 高 不服 来辩,10,10,市场活动,市场活动
1250,注销 卡后 收到 此短信 尊敬 尾号  解除 管控 敬请 知悉,10,21,市场活动,销卡、销户
1251,持卡人 认证 失败 封卡 求助,20,20,还款,还款
1252,鬼 白金卡 卡 额度 万 动静 首提 不来,22,22,额度调整,额度调整
1253,白麒麟 成功 下卡 卡面 确实 好看,20,20,还款,还款
1254,有人 用假 证件 举报 他会 样 有人 用假 证件 办 卡 信息 想 举报 举报 卡,20,1,还款,个人信息
